type,title,country,date_added,release_year,rating,duration,listed_in,description,target_ages
Movie,The Princess Switch: Switched Again,United States,"November 19, 2020",2020,TV-G,97 min,"Children & Family Movies, Comedies, Dramas",margaret christma coron complic love life doubl staci step save day third lookalik ruin plan,Kids
Movie,Three Words to Forever,Philippines,"November 19, 2020",2018,TV-G,107 min,"Comedies, Dramas, International Movies",near 25th wed anniversari rick cristi tri conceal crumbl marriag famili prepar big celebr,Kids
Movie,Well Done Abba,India,"November 19, 2020",2009,TV-14,135 min,"Comedies, International Movies",leav droughtridden villag find daughter husband father becom mire briberylac bureaucraci local govern,Teens
TV Show,Holiday Home Makeover with Mr. Christmas,United States,"November 18, 2020",2020,TV-G,1 Season,Reality TV,interior design benjamin mr christma bradley work trusti team elv help famili transform home holiday,Kids
Movie,Ainu Mosir,"United States, Japan","November 17, 2020",2020,TV-PG,84 min,"Dramas, International Movies",sensit ainu teen search spiritu connect recent deceas dad navig indigen ident chang world,Older Kids
Movie,Kevin Hart: Zero F**ks Given,United States,"November 17, 2020",2020,TV-MA,70 min,Stand-Up Comedy,kevin hart serv laugh brick oven pizza comfort home dish male group chat sex 40 life covid19,Adults
TV Show,The Boss Baby: Back in Business,United States,"November 17, 2020",2020,TV-Y7,4 Seasons,"Kids' TV, TV Comedies",boss babi bring big brother tim offic teach art busi anim seri sprung hit film,Older Kids
TV Show,We Are the Champions,United States,"November 17, 2020",2020,TV-MA,1 Season,"Docuseries, Reality TV",explor array uniqu competit quirki bizarr meet passion commun docuseri,Adults
Movie,Loving,"United Kingdom, United States","November 16, 2020",2016,PG-13,124 min,"Dramas, Romantic Movies",young coupl interraci marriag 1958 spark case lead suprem court base true stori richard mildr love,Teens
Movie,Whose Streets?,United States,"November 16, 2020",2017,R,102 min,Documentaries,power activist leader documentari follow rise black live matter movement follow 2014 kill michael brown,Adults
Movie,A Very Country Christmas,"United States, Canada","November 15, 2020",2017,TV-G,84 min,"Music & Musicals, Romantic Movies",unfulfil countri music star hide hometown meet bud interior design find way heart,Kids
TV Show,America's Next Top Model,United States,"November 15, 2020",2013,TV-14,2 Seasons,Reality TV,supermodel tyra bank creat executiveproduc realiti seri chronicl transform young women potenti supermodel,Teens
TV Show,Beyblade Burst Rise,Japan,"November 15, 2020",2019,TV-Y,1 Season,"Anime Series, Kids' TV",train legendari valt aoi dant trusti ace dragon lead next gener blader battl japan beyblad birthplac,Kids
Movie,Cloudy with a Chance of Meatballs 2,United States,"November 15, 2020",2013,PG,95 min,"Children & Family Movies, Comedies",inventor flint lockwood battl mutant food beast creat notori machin includ shrimpanze tacodil jellyfish sandwich,Older Kids
Movie,Hometown Holiday,Canada,"November 15, 2020",2018,TV-G,84 min,Romantic Movies,ambiti entertain lawyer tri sign sing sensat sister small town local soon captur attent heart,Kids
TV Show,Polly Pocket,"Canada, United States, Ireland","November 15, 2020",2021,TV-Y,2 Seasons,Kids' TV,uncov magic locket allow shrink size polli friend set big adventur petit power,Kids
TV Show,Survivor,United States,"November 15, 2020",2014,TV-14,2 Seasons,Reality TV,longrun realiti competit seri player battl element vie 1 million titl sole survivor,Teens
TV Show,The Crown,"United Kingdom, United States","November 15, 2020",2020,TV-MA,4 Seasons,"British TV Shows, International TV Shows, TV Dramas",drama follow polit rivalri romanc queen elizabeth ii reign event shape second half 20th centuri,Adults
Movie,White Christmas,United States,"November 15, 2020",1954,TV-G,120 min,"Children & Family Movies, Classic Movies, Comedies",two war buddi fall two sister follow girl resort own former command offic danger lose place,Kids
Movie,Killer Cove,United States,"November 14, 2020",2019,TV-14,87 min,Thrillers,unlucki woman find solut hate ex tri job hunt stalker charm pi endur new set problem,Teens
TV Show,American Horror Story,United States,"November 13, 2020",2019,TV-MA,9 Seasons,"TV Horror, TV Mysteries, TV Thrillers",twist emmywin drama play upon power supernatur fear everyday horror explor humankind unsettl capac evil,Adults
Movie,Fukrey Boyzzz: Space Mein Fukrapanti,India,"November 13, 2020",2020,TV-Y7,75 min,"Children & Family Movies, Comedies",forebod dream alien come true funlov trio must prevent human intellig stolen planet earth,Older Kids
Movie,Jingle Jangle: A Christmas Journey,United States,"November 13, 2020",2020,PG,124 min,"Children & Family Movies, Music & Musicals",decad trust apprentic betray oncejoy toymak find new hope kind curiou granddaught come life,Older Kids
Movie,The Beginning of Life 2: Outside,Brazil,"November 13, 2020",2020,TV-PG,92 min,"Documentaries, International Movies",urban expand throughout societi documentari discuss valu find way children forg real connect natur,Older Kids
Movie,The Life Ahead,Italy,"November 13, 2020",2020,PG-13,95 min,"Dramas, International Movies",holocaust survivor run daycar busi form unlik friendship bitter street kid take rob,Teens
TV Show,The Minions of Midas,Spain,"November 13, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",millionair publish get blackmail note decis mean life death inspir jack london stori set contemporari madrid,Adults
Movie,A Very Special Love,Philippines,"November 12, 2020",2008,TV-G,107 min,"International Movies, Romantic Movies",land job work longtim crush optimist woman realiz man dream isnt exactli envis,Kids
TV Show,Ethos,Turkey,"November 12, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Dramas",group individu istanbul transcend sociocultur boundari find connect fear wish intertwin,Adults
Movie,First Love,Philippines,"November 12, 2020",2018,TV-MA,123 min,"Dramas, International Movies, Romantic Movies",chanc encount soon intertwin live reserv businessman vibrant photograph live grave heart condit,Adults
Movie,Fruitvale Station,United States,"November 12, 2020",2013,R,85 min,"Dramas, Independent Movies",dramat render reallif tragedi recount final hour oscar grant shot san francisco transit polic new year day 2009,Adults
TV Show,Graceful Friends,South Korea,"November 12, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",sudden death bring everyon dirti secret surfac live marriag group closeknit friend unravel control,Adults
Movie,Ludo,India,"November 12, 2020",2020,TV-MA,150 min,"Comedies, Dramas, International Movies",resurfac sex tape rogu suitcas money four wildli differ stori overlap whim fate chanc one eccentr crimin,Adults
Movie,Memories of a Teenager,Argentina,"November 12, 2020",2019,TV-MA,97 min,"Dramas, International Movies, LGBTQ Movies",cope friend death teen blog daili life fall existenti crisi experienc sexual awaken,Adults
Movie,Prom Night,"United States, Canada","November 12, 2020",2008,PG-13,88 min,Horror Movies,prom night high school senior still struggl nightmar past tri evad killer bent end parti friend,Teens
TV Show,A Queen Is Born,Brazil,"November 11, 2020",2020,TV-14,1 Season,"International TV Shows, Reality TV",gloria groov alexia twister make drag dream come true help six artist find confid stage makeov show,Teens
TV Show,Aunty Donna's Big Ol' House of Fun,Australia,"November 11, 2020",2020,TV-MA,1 Season,TV Comedies,comedi trio aunti donna showcas uniqu absurd offbeat style array sketch song eclect charact,Adults
TV Show,The Liberator,United States,"November 11, 2020",2020,TV-MA,1 Season,"TV Action & Adventure, TV Dramas",divers deepli brave crew ragtag soldier becom heroic fighter european invas world war ii base true event,Adults
TV Show,Trial 4,United States,"November 11, 2020",2020,TV-MA,1 Season,"Crime TV Shows, Docuseries",charg teen 1993 kill boston cop sean k elli fight prove innoc expos polic corrupt system racism,Adults
Movie,We Are All For The Fatherland,"Lebanon, Canada, France","November 11, 2020",1979,TV-14,74 min,"Documentaries, International Movies",1978 isra invas lebanon children tri sing nation anthem citizen search hope wartorn south,Teens
Movie,What We Wanted,Austria,"November 11, 2020",2020,TV-MA,93 min,"Dramas, International Movies",coupl face fertil issu find marriag test vacat sardinian resort famili next door add tension,Adults
TV Show,A Lion in the House,United States,"November 10, 2020",2006,TV-14,1 Season,TV Shows,five kid resili famili navig treatment trauma pediatr cancer documentari film cours six year,Teens
TV Show,DASH & LILY,United States,"November 10, 2020",2020,TV-14,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas",opposit attract christma cynic dash sunni lili trade messag dare red notebook pass back forth around new york citi,Teens
TV Show,Bakugan: Armored Alliance,United States,"November 6, 2020",2020,TV-Y7,1 Season,"Anime Series, Kids' TV",dan kouzo crew heroic brawler battl challeng power evil forc work protect human bakugan,Older Kids
TV Show,Bakugan: Battle Planet,"Japan, Canada, United States","November 6, 2020",2018,TV-PG,1 Season,"Anime Series, Kids' TV",dan kouzo pal bond mysteri creatur known bakugan fight sinist forc control world,Older Kids
Movie,Citation,Nigeria,"November 6, 2020",2020,TV-MA,151 min,"Dramas, International Movies",bright student nigeria take academ establish report popular professor tri rape base real event,Adults
TV Show,Country Ever After,United States,"November 6, 2020",2020,TV-PG,1 Season,Reality TV,countri artist coffey anderson wife hiphop dancer criscilla juggl famili life career goal test faith realiti seri,Older Kids
Movie,Girl's Revenge,Taiwan,"November 6, 2020",2020,TV-MA,82 min,"Dramas, International Movies",sex video subject friend mockeri bulli transfer student set reveal truth campu secret come light,Adults
Movie,The Endless Trench,"Spain, France, Canada","November 6, 2020",2019,TV-MA,148 min,"Dramas, Independent Movies, International Movies",fear retribut republican spanish civil war hide home 30 year help wife base true event,Adults
Movie,The Late Bloomer,United States,"November 6, 2020",2016,R,95 min,Comedies,sex therapist pituitari issu final get experi puberti glori age 30 oper unleash rage hormon,Adults
TV Show,Wrong Kind of Black,Australia,"November 6, 2020",2018,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",1970 melbourn dj name boori monti pryor brother paul navig racial tension polic encount amid disco discrimin,Adults
Movie,A New York Christmas Wedding,United States,"November 5, 2020",2020,TV-MA,90 min,"Dramas, LGBTQ Movies, Romantic Movies",wed near bridetob visit angel reveal could shed follow feel childhood best friend,Adults
Movie,Alone/Together,Philippines,"November 5, 2020",2019,TV-14,103 min,"Dramas, International Movies, Romantic Movies",eight year breakup colleg sweetheart christin raf reconnect differ point live feel past resurfac,Teens
TV Show,Carmel: Who Killed Maria Marta?,Argentina,"November 5, 2020",2020,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",woman found dead bathtub puddl blood nearbi husband theoriz accid autopsi tell differ stori,Teens
Movie,Midnight at the Magnolia,Canada,"November 5, 2020",2020,TV-G,87 min,"Comedies, Romantic Movies",longtim friend local radio host maggi jack fake coupl famili listen hope get show syndic,Kids
Movie,One More Try,Philippines,"November 5, 2020",2012,TV-14,102 min,"Dramas, International Movies, Romantic Movies",son condit becom sever woman reconnect biolog father reunion put strain respect relationship,Teens
Movie,Operation Christmas Drop,United States,"November 5, 2020",2020,TV-G,96 min,"Children & Family Movies, Comedies, Romantic Movies",bythebook polit aid fall bigheart air forc pilot look shut tropic base airborn christma tradit,Kids
TV Show,Paranormal,Egypt,"November 5, 2020",2020,TV-14,1 Season,"International TV Shows, TV Dramas, TV Horror",skeptic hematologist plung seri inexplic event unwillingli becom gotoguy paranorm investig,Teens
Movie,A Christmas Catch,Canada,"November 4, 2020",2018,TV-G,87 min,"Dramas, Romantic Movies",cop work undercov trail possibl diamond thief get caught tricki spot find new clue new feel suspect,Kids
Movie,Christmas with a Prince,Canada,"November 4, 2020",2018,TV-PG,86 min,"Comedies, Dramas, Romantic Movies",dedic pediatrician reconsid feel carefre princ secretli recov ski accid alongsid young patient,Older Kids
TV Show,Love & Anarchy,Sweden,"November 4, 2020",2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",marri consult young tech kick flirti game challeng societ norm lead reevalu entir live,Adults
Movie,Miss India,India,"November 4, 2020",2020,TV-PG,136 min,"Dramas, International Movies",uproot america aspir indian entrepreneur confront disapprov sexism rivalri draw cultur start tea busi,Older Kids
Movie,Felix Lobrecht: Hype,Germany,"November 3, 2020",2020,TV-MA,60 min,Stand-Up Comedy,felix lobrecht aim dark humor overli polit cultur weird laughter sheer awkward walk babi standup special,Adults
Movie,MOTHER,Japan,"November 3, 2020",2020,TV-14,127 min,"Dramas, International Movies",shuhei errat mother feel threaten start awaken world beyond distort control send famili hurtl toward tragedi,Teens
Movie,The Beginning of Life,United States,"November 3, 2020",2016,TV-PG,96 min,"Documentaries, International Movies",scientist advoc parent around world explor care tend kid earliest need shape cours human societi,Older Kids
Movie,Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón,United States,"November 3, 2020",2020,TV-PG,15 min,Documentaries,guillermo del toro alfonso cuarón discuss fellow mexican director fernando fría de la parra awardwin film im longer,Older Kids
TV Show,Can You Hear Me?,Canada,"November 2, 2020",2020,TV-MA,2 Seasons,"International TV Shows, TV Comedies, TV Dramas",three friend lowincom neighborhood find humor hope live grappl bad boyfriend dysfunct famili,Adults
Movie,Prospect,"Canada, United States","November 2, 2020",2018,R,100 min,"Sci-Fi & Fantasy, Thrillers",father daughter travel alien moon search valuabl gem forc alter plan nefari outlaw get involv,Adults
TV Show,60 Days In,United States,"November 1, 2020",2019,TV-MA,1 Season,Reality TV,recruit sheriff volunt infiltr counti prison expos corrupt crime within system docuseri,Adults
Movie,Christmas Break-In,United States,"November 1, 2020",2019,TV-PG,87 min,"Children & Family Movies, Comedies",strand school holiday break precoci girl get spirit save trio robber trespass hold janitor hostag,Older Kids
TV Show,Dawson's Creek,United States,"November 1, 2020",2002,TV-14,6 Seasons,"Romantic TV Shows, TV Dramas, Teen TV Shows",nighttim soap group closeknit teen frankli depict issu adolesc obsess young adult includ sex sex sex,Teens
Movie,Elf Pets: A Fox Cub’s Christmas Tale,United States,"November 1, 2020",2020,TV-Y,28 min,Children & Family Movies,elit team elv furri fox cub friend help bring christma spirit boy whose mom may make home holiday,Kids
Movie,Elf Pets: Santa’s Reindeer Rescue,United States,"November 1, 2020",2020,TV-Y,27 min,Children & Family Movies,determin help santa get readi merri round giftgiv team special elv wrangl reindeer muchneed holiday magic,Kids
Movie,Elliot the Littlest Reindeer,Canada,"November 1, 2020",2018,PG,90 min,Children & Family Movies,blitzen suddenli retir miniatur hors determin join santa reindeer team face fierc competit north pole tryout,Older Kids
TV Show,Forged in Fire,United States,"November 1, 2020",2019,TV-14,1 Season,Reality TV,bladesmith vie cash prize forg best metal weapon page histori competit seri featur expert judg,Teens
TV Show,Leah Remini: Scientology and the Aftermath,United States,"November 1, 2020",2018,TV-14,3 Seasons,Docuseries,former scientolog member share detail account alleg abus harass church docuseri actress leah remini,Teens
TV Show,LEGO Jurassic World: Legend of Isla Nublar,United States,"November 1, 2020",2019,TV-Y,1 Season,Kids' TV,jurass park velociraptor handler oper manag tackl crise epic proport tri prevent dinosaurs disast,Kids
TV Show,LEGO Jurassic World: Secret Exhibit,United States,"November 1, 2020",2018,TV-Y,1 Season,Kids' TV,cando problem solver team rug anim behaviorist transport trio dinosaur across park supersecret exhibit,Kids
TV Show,LEGO Ninjago,Canada,"November 1, 2020",2020,TV-Y7,2 Seasons,Kids' TV,fight foe across ninjago citi beyond ninja embark new quest gain newfound alli power friendship test,Older Kids
TV Show,LEGO Ninjago: Masters of Spinjitzu,"Denmark, Singapore, Canada, United States","November 1, 2020",2019,TV-Y7,10 Seasons,Kids' TV,kai jay cole zane must master element power spinjitzu weapon protect land ninjago also underworld,Older Kids
TV Show,LEGO: CITY Adventures,"United States, France, Denmark","November 1, 2020",2019,TV-Y,1 Season,"Kids' TV, TV Comedies",boomtown built fun friendship wacki mischief quirki crew cop firefight work hard preserv peac awesom,Kids
Movie,Little Monsters,United States,"November 1, 2020",1989,PG,102 min,"Children & Family Movies, Comedies",brian know creatur bed face fear confront howev make hilari weird new friend,Older Kids
Movie,Mile 22,"United States, China, Colombia","November 1, 2020",2018,R,94 min,Action & Adventure,offic topsecret cia unit lead team escort prize intellig asset safeti enemi forc hot trail,Adults
Movie,Piercing,United States,"November 1, 2020",2018,R,81 min,"Dramas, Independent Movies, Thrillers",famili man plot kill spellbind sex worker end psychosexu exercis outwit twist target,Adults
Movie,Snowden,"United Kingdom, France, Germany, United States","November 1, 2020",2016,R,134 min,"Dramas, Thrillers",thriller trace edward snowden journey armi recruit disillus govern analyst bent expos vast us surveil program,Adults
TV Show,The Garfield Show,"France, United States","November 1, 2020",2018,TV-Y,4 Seasons,"Kids' TV, TV Comedies",lazi lasagnalov fat cat garfield live life term includ teas geeki owner jon torment dimwit dog odi,Kids
TV Show,The Good Detective,South Korea,"November 1, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",doubt rise fiveyearold murder convict veteran detect partner young hotshot hunt case hidden truth,Adults
Movie,The Impossible,"Spain, Thailand, United States","November 1, 2020",2012,PG-13,114 min,Dramas,track one famili harrow experi grip drama depict chao gener massiv 2004 tsunami southeast asia,Teens
Movie,The Next Karate Kid,United States,"November 1, 2020",1994,PG,107 min,"Action & Adventure, Dramas, Sports Movies",boston karat master mr miyagi find new pupil troubl teen juli pierc get bulli group relentless classmat,Older Kids
TV Show,Voice,South Korea,"November 1, 2020",2018,TV-14,2 Seasons,"Crime TV Shows, International TV Shows, Korean TV Shows",deft detect whose wife kill serial murder team rooki cop gift voic profil deal father murder,Teens
Movie,Wheels of Fortune,United States,"November 1, 2020",2020,R,107 min,"Comedies, Sports Movies",claim big inherit downonhisluck mechan must win seri competit outlin birth father,Adults
TV Show,Afronta! Facing It!,Brazil,"October 31, 2020",2017,TV-PG,1 Season,"Docuseries, International TV Shows",docuseri spotlight afrobrazilian thinker share individu journey discuss represent entrepreneurship commun,Older Kids
Movie,The 12th Man,Norway,"October 31, 2020",2018,TV-MA,130 min,"Action & Adventure, Dramas, International Movies",base true event stori follow norwegian saboteur harrow struggl reach safeti escap nazi attack world war ii,Adults
TV Show,Zumbo's Just Desserts,Australia,"October 31, 2020",2019,TV-PG,1 Season,"International TV Shows, Reality TV",dessert wizard adriano zumbo look next willi wonka tens competit find skill amateur compet 100000 prize,Older Kids
Movie,Hidden in Plain Sight,United States,"October 30, 2020",2019,TV-14,87 min,"Dramas, Independent Movies, Thrillers",woman stage suicid still live fear abus exboyfriend track steal son never knew,Teens
Movie,His House,United Kingdom,"October 30, 2020",2020,TV-14,93 min,"Horror Movies, Independent Movies",young coupl wartorn south sudan seek asylum fresh start england theyr torment sinist forc live new home,Teens
Movie,In Line,Nigeria,"October 30, 2020",2017,TV-14,114 min,"Dramas, International Movies",convict murder get prison reunit wife plot reveng year physic emot abus,Teens
Movie,Kaali Khuhi,India,"October 30, 2020",2020,TV-14,91 min,"Horror Movies, International Movies",restless spirit curs villag histori femal infanticid town fate lie hand 10yearold girl,Teens
TV Show,Kongsuni and Friends,United States,"October 30, 2020",2020,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",brightey girl magic owl sidekick find adventur enchant power creativ idea lead import lesson,Kids
TV Show,Marvel's Agents of S.H.I.E.L.D.,United States,"October 30, 2020",2020,TV-14,7 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy",agent phil coulson seen action marvel aveng assembl team top shield agent investig bizarr threat,Teens
Movie,Rogue City,France,"October 30, 2020",2020,TV-MA,116 min,"Dramas, International Movies, Thrillers",caught crosshair polic corrupt marseil war gang loyal cop must protect squad take matter hand,Adults
TV Show,Somebody Feed Phil,United States,"October 30, 2020",2020,TV-14,4 Seasons,"Docuseries, Reality TV",everybodi love raymond creator phil rosenth travel globe take local cuisin cultur bangkok lisbon mexico citi,Teens
TV Show,Suburra: Blood on Rome,Italy,"October 30, 2020",2020,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",2008 fight land seasid town near rome spiral deadli battl organ crime corrupt politician vatican,Adults
Movie,The Day of the Lord,"Mexico, Spain","October 30, 2020",2020,TV-MA,93 min,"Horror Movies, International Movies",horror movi retir priest haunt sin pull back dark friend beg help possess daughter,Adults
Movie,Pagpag: Nine Lives,Philippines,"October 29, 2020",2013,TV-14,106 min,"Horror Movies, International Movies",ignor superstit group teenag find fight live haunt hunt evil spirit,Teens
Movie,Holidate,United States,"October 28, 2020",2020,TV-MA,105 min,"Comedies, Romantic Movies",fed singl holiday two stranger agre other platon pluson year long catch real feel along way,Adults
Movie,La Gran Ilusión,United States,"October 28, 2020",2016,TV-14,50 min,International Movies,known el mago pop illusionist antonio díaz shock awe celebr bystand around world mindblow perform,Teens
Movie,Metallica Through The Never,United States,"October 28, 2020",2013,R,93 min,Music & Musicals,heavi metal band metallica tear stage young roadi sent urgent errand mission soon take surreal turn,Adults
Movie,Nobody Sleeps in the Woods Tonight,Poland,"October 28, 2020",2020,TV-MA,103 min,"Horror Movies, International Movies",addict technolog group teen attend rehabilit camp forest sinist forc intend take offlin forev,Adults
Movie,Secrets of the Saqqara Tomb,United States,"October 28, 2020",2020,TV-PG,114 min,Documentaries,unearth tomb untouch 4400 year egyptian archaeologist attempt deciph histori extraordinari find,Older Kids
TV Show,Blood of Zeus,United States,"October 27, 2020",2020,TV-MA,1 Season,Anime Series,common live ancient greec heron discov true heritag son zeu purpos save world demon armi,Adults
TV Show,Chico Bon Bon: Monkey with a Tool Belt,United States,"October 27, 2020",2020,TV-Y,4 Seasons,Kids' TV,arm tool engin smart monkey mechan chico bon bon fixit forc help peopl blunderburg solv problem,Kids
Movie,Guillermo Vilas: Settling the Score,Argentina,"October 27, 2020",2020,TV-14,95 min,"Documentaries, International Movies, Sports Movies",argentin journalist strive prove countryman tenni star guillermo vila wrongli deni 1 world rank 1970,Teens
Movie,Sarah Cooper: Everything's Fine,United States,"October 27, 2020",2020,TV-MA,50 min,Comedies,comedian trump lipsynch sensat sarah cooper tackl polit race light topic sketch special pack celebr guest,Adults
TV Show,The Devil Punisher,Taiwan,"October 26, 2020",2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Mysteries",baker day demon fighter night reincarn deiti must jog amnesiac lover memori millenniumlong romanc,Teens
Movie,Ajab Prem Ki Ghazab Kahani,India,"October 25, 2020",2009,TV-14,150 min,"Comedies, International Movies, Music & Musicals",young man obsess make other happi drive help girl love marri someon els tri win heart,Teens
Movie,Black '47,"Ireland, Luxembourg, Belgium","October 24, 2020",2018,R,100 min,"Action & Adventure, Dramas, Independent Movies",great famin ravag belov countri battleharden irishman desert british empir exact reveng tyrant respons,Adults
Movie,I Am Woman,Australia,"October 24, 2020",2019,TV-MA,117 min,"Dramas, Music & Musicals",1960 australian singer helen reddi struggl misogyni music busi record anthem women movement,Adults
Movie,Alice Junior,Brazil,"October 23, 2020",2019,TV-MA,87 min,"Comedies, International Movies, LGBTQ Movies",small town tran teen vibrant person shake high school conserv way tri secur first kiss,Adults
TV Show,Barbarians,Germany,"October 23, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas",torn mighti empir rais tribal peopl roman offic conflict allegi lead epic histor clash,Adults
TV Show,Move,United States,"October 23, 2020",2020,TV-MA,1 Season,"Docuseries, International TV Shows",discov brilliant dancer choreograph shape art movement around world documentari seri,Adults
Movie,Over the Moon,"China, United States","October 23, 2020",2020,PG,100 min,"Children & Family Movies, Music & Musicals",fuel memori mother resourc fei fei build rocket moon mission prove exist legendari moon goddess,Older Kids
Movie,Shattered Memories,United States,"October 23, 2020",2018,TV-14,86 min,"Dramas, Thrillers",former lover mysteri murder woman must clear name avoid killer,Teens
TV Show,Stolen Away,Spain,"October 23, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",search kidnap daughter antonio set seri event affect score peopl maneuv sent prison colombia,Adults
TV Show,The Queen's Gambit,United States,"October 23, 2020",2020,TV-MA,1 Season,TV Dramas,1950 orphanag young girl reveal astonish talent chess begin unlik journey stardom grappl addict,Adults
Movie,Bending the Arc,United States,"October 22, 2020",2017,TV-MA,102 min,Documentaries,documentari follow group ambiti advoc whose mission save live haiti turn global fight health care justic,Adults
Movie,Cadaver,Norway,"October 22, 2020",2020,TV-MA,87 min,"Horror Movies, International Movies",peculiar hotel dinner show draw crowd postapocalypt famin one famili discov theyll pay much price admiss,Adults
Movie,Exes Baggage,Philippines,"October 22, 2020",2018,TV-MA,103 min,"Dramas, International Movies, Romantic Movies",year apart former coupl reunit get reacquaint pain love work heal wound past,Adults
Movie,Fisherman's Friends,United Kingdom,"October 22, 2020",2019,PG-13,112 min,"Comedies, Dramas, Music & Musicals",sea shanti long unit 10 cornish fishermen chant sail music chart friendship kept bay,Teens
Movie,The Hows of Us,Philippines,"October 22, 2020",2018,TV-14,120 min,"Dramas, International Movies, Romantic Movies",young coupl hous happi home one breadwinn look big break love still live,Teens
Movie,The Hummingbird Project,"Canada, Belgium","October 22, 2020",2018,R,111 min,"Dramas, Independent Movies",discov shortcut give technolog advantag two cousin look earn big score outrac massiv corpor,Adults
Movie,"Yes, God, Yes",United States,"October 22, 2020",2020,R,78 min,"Comedies, Dramas, Independent Movies",devoutli religi teen grappl sexual awaken attend cathol school retreat hope suppress newfound urg,Adults
Movie,Brave Blue World: Racing to Solve Our Water Crisis,"Canada, United Kingdom","October 21, 2020",2020,TV-PG,51 min,"Documentaries, International Movies",reus energi gener new innov across five contin explor documentari build futur sustain water,Older Kids
TV Show,My Next Guest Needs No Introduction With David Letterman,United States,"October 21, 2020",2020,TV-MA,3 Seasons,Stand-Up Comedy & Talk Shows,tv legend david letterman team fascin global figur indepth interview curiosityfuel excurs monthli talk show,Adults
Movie,Rebecca,United Kingdom,"October 21, 2020",2020,PG-13,123 min,"Dramas, Romantic Movies, Thrillers",young newlyw move husband impos estat must contend sinist housekeep haunt shadow late wife,Teens
Movie,The Magic School Bus Rides Again The Frizz Connection,Canada,"October 20, 2020",2020,TV-Y,46 min,Children & Family Movies,lightn split magic school bu three piec scatter class across globe differ version ms frizzl aboard bu,Kids
Movie,Tremors: Shrieker Island,United States,"October 20, 2020",2020,PG-13,102 min,"Action & Adventure, Horror Movies",massiv mutant creatur infiltr island natur preserv scientist recruit legendari monster hunter battl beast,Teens
Movie,Beirut Oh Beirut,Lebanon,"October 19, 2020",1975,TV-14,106 min,"Classic Movies, Dramas, International Movies",aftermath 1967 arabisra war four young lebanes navig exist along rapidli transform polit line,Teens
Movie,Bosta,Lebanon,"October 19, 2020",2005,TV-14,112 min,"Dramas, International Movies, Music & Musicals",15 year franc kamal return nativ beirut reassembl danc crew strive modern tradit dabk routin,Teens
Movie,Ghadi,Lebanon,"October 19, 2020",2013,TV-MA,101 min,"Comedies, Dramas, International Movies",father boy syndrom resist neighbor effort child institution miracul event begin occur,Adults
Movie,Heritages,"Lebanon, United Arab Emirates, France, Switzerland, Germany","October 19, 2020",2014,TV-14,96 min,"Documentaries, International Movies",forc leav countri three time lebanes film director trace root analyz key moment nation histori,Teens
Movie,Listen,Lebanon,"October 19, 2020",2017,TV-MA,103 min,"Dramas, Independent Movies, International Movies",sound engin fall model unfortun accid fight save love trigger sens,Adults
Movie,Out of Life,"France, Belgium, Italy","October 19, 2020",1991,TV-MA,94 min,"Classic Movies, Dramas, Independent Movies",kidnap guerrilla beirut french photojournalist refus yield digniti despit tortur brainwash captor,Adults
Movie,Panoptic,Lebanon,"October 19, 2020",2017,TV-MA,69 min,"Documentaries, International Movies",documentari dissect lebanon presentday paradox stem year conflict director attempt reconcil nation past,Adults
Movie,Taxi Ballad,"Lebanon, United States, United Arab Emirates","October 19, 2020",2012,TV-MA,81 min,"Dramas, International Movies",taxi driver new beirut form unlik bond bore american pilat instructor love hear tell stori past,Adults
Movie,The Kite,"Lebanon, France","October 19, 2020",2003,TV-MA,76 min,"Dramas, International Movies, Romantic Movies",occupi villag teen girl set wed stranger cross meet betroth heart get entangl border,Adults
Movie,The Little Wars,"France, Lebanon","October 19, 2020",1982,TV-14,108 min,"Dramas, Independent Movies, International Movies",beirut resid soraya drawn two men daredevil photograph nabil talal must embrac feudal heritag father kidnap,Teens
Movie,Under the Bombs,"France, Lebanon, United Kingdom","October 19, 2020",2007,TV-MA,94 min,"Dramas, Independent Movies, International Movies",mother arriv wartorn lebanon look miss son south cab driver agre escort danger trip,Adults
TV Show,Unsolved Mysteries,United States,"October 19, 2020",2020,TV-MA,2 Seasons,"Crime TV Shows, Docuseries",real case perplex disappear shock murder paranorm encount fuel grip reviv icon documentari seri,Adults
